time_signature  energy    danceability  tempo    duration   key  liveness  speechiness  instrumentalness loudness name 			    		   type
4 		0.919416  0.750594      115.01   240.09433  0    0.042129  0.044859     0.019362 	-6.239    "Gorgon"				   metal
3 		0.93174   0.354938      129.17   354.46154  0    0.110063  0.037125     0.335985 	-5.647    "Resurrection"			   metal
4 		0.949032  0.209577      104.788  241.66667  2    0.343348  0.073975     0.967735 	-4.232    "Ladders to Sumeria"			   metal
4 		0.95495   0.523771      140.286  202.41333  2    0.213573  0.105249     0.074092 	-4.706    "Beneath The Wheel"			   metal
4 		0.525414  0.669662      99.973   288.05143  5    0.185677  0.02507      0.092583 	-8.303    "It's A Secret"			   metal
4 		0.471758  0.568596      119.852  226.62667  10   0.153888  0.223744     7e-06 		-6.154    "Don't Talk To Strangers"		   metal
4 		0.743261  0.64139       119.996  258.76558  0    0.090628  0.038961     0.211896 	-6.66     "Soldier Of Fortune"			   metal
4 		0.682277  0.5265        120.051  228.50621  0    0.142902  0.047098     0.000237 	-13.267   "The Oath"				   metal
4 		0.682124  0.408146      176.103  206.46667  2    0.38938   0.036232     3.7e-05 	-10.951   "Heaven And Hell"			   metal
4 		0.753852  0.265226      84.527   204.58667  7    0.388997  0.084387     0.6979 		-6.614    "Fast As A Shark"			   metal
4 		0.240953  0.541488      122.867  161.90798  11   0.074685  0.088604     0.0 		-23.01    "Stand Up And Shout"			   metal
4 		0.459426  0.239811      85.515   141.41333  9    0.346888  0.03034      0.644819 	-11.886   "Inside Four Walls"			   metal
4 		0.652756  0.577245      82.78    207.22893  9    0.112258  0.069234     3.6e-05 	-11.648   "King for a Day"			   metal
4 		0.462273  0.618243      95.999   254.26413  8    0.073222  0.024736     0.005124 	-11.951   "Halloween"				   metal
4 		0.687387  0.671833      91.994   218.59265  3    0.142227  0.071208     0.021715 	-5.888    "Napalm In The Morning"		   metal
4 		0.241963  0.770631      82.864   234.86667  8    0.072589  0.366993     0.058932 	-18.391   "Final Product"			   metal
4 		0.752458  0.610784      118.97   316.58086  10   0.056549  0.062078     0.622668 	-8.479    "Manteca!"				   jazz
3 		0.314596  0.316929      113.366  212.44     1    0.107719  0.033078     0.00011 	-8.666    "Are You Real?"			   jazz
4 		0.025288  0.561424      111.825  335.66667  5    0.09551   0.049008     0.882978 	-22.345   "Afternoon in Paris"			   jazz
3 		0.448773  0.207792      174.748  826.2      4    0.316285  0.034624     4.5e-05 	-17.279   "My Favorite Things"			   jazz
4 		0.196039  0.577968      86.589   276.06667  0    0.12406   0.037521     0.89529 	-15.184   "Blue Monk"				   jazz
