time_signature; energy; danceability; tempo; duration; key; liveness; speechiness; instrumentalness; loudness; acousticness; valence; song_hotttnesss;song_name; artist_name; genre
4 ; 0.096295 ; 0.370003 ; 134.979 ; 202.19955 ; 8 ; 0.105089 ; 0.044486 ; 0.72157 ; -19.071 ; 0.938973 ; 0.288203 ; 0.086626 ; Mystery (Rosary) Sonata No. 2, "The Visitation": II. Allaman - III. Presto ; Heinrich Ignaz Franz von Biber ; classical
4 ; 0.184447 ; 0.323131 ; 141.669 ; 152.23955 ; 2 ; 0.245344 ; 0.053245 ; 0.444054 ; -21.472 ; 0.920937 ; 0.077382 ; 0.181073 ; Introduction ; Igor Stravinsky ; classical
3 ; 0.172311 ; 0.649753 ; 124.413 ; 78.57587 ; 7 ; 0.130385 ; 0.097578 ; 0.954356 ; -20.099 ; 0.988768 ; 0.87046 ; 0.251287 ; Allegro ; Franz Joseph Haydn ; classical
4 ; 0.022309 ; 0.213866 ; 75.494 ; 265.09333 ; 9 ; 0.084323 ; 0.038918 ; 0.887499 ; -31.078 ; 0.991875 ; 0.081051 ; 0.374568 ; 2 Arabesques: No. 1 in E major ; Claude Debussy ; classical
3 ; 0.029488 ; 0.156442 ; 106.578 ; 352.09333 ; 4 ; 0.158401 ; 0.040143 ; 0.884245 ; -31.187 ; 0.941356 ; 0.038013 ; 0.104122 ; 2 Pieces for Small Orchestra: No. 1. On Hearing the First Cuckoo in Spring ; Frederick Delius ; classical
3 ; 0.130414 ; 0.090003 ; 78.798 ; 484.06639 ; 7 ; 0.099647 ; 0.043605 ; 0.67349 ; -20.953 ; 0.873696 ; 0.036811 ; 0.0 ; Romance in G, Op. 26 ; Johan Svendsen ; classical
3 ; 0.031554 ; 0.410799 ; 179.853 ; 208.03955 ; 0 ; 0.056854 ; 0.099767 ; 0.88445 ; -35.983 ; 0.941907 ; 0.137374 ; 0.102861 ; Simple Symphony, Op. 4: II. Movement 2 (Playful Pizzicato) ; English Chamber Orchestra ; classical
4 ; 0.017788 ; 0.273638 ; 110.128 ; 243.70667 ; 9 ; 0.11597 ; 0.046053 ; 0.019193 ; -30.37 ; 0.973987 ; 0.151072 ; 0.177199 ; Violin Sonata (Sonatina) in D Major, Op. 137, No. 1, D. 384: II. Andante ; Franz Schubert ; classical
4 ; 0.01419 ; 0.064428 ; 71.634 ; 415.73333 ; 5 ; 0.123569 ; 0.042311 ; 0.115792 ; -29.219 ; 0.980818 ; 0.028618 ; 0.220231 ; Song for Athene ; John Tavener ; classical
1 ; 0.033527 ; 0.099382 ; 83.743 ; 535.0 ; 4 ; 0.069939 ; 0.044648 ; 0.606005 ; -29.28 ; 0.88795 ; 0.029597 ; 0.293678 ; Lemminkainen Suite, Op. 22: II. The Swan of Tuonela ; Jean Sibelius ; classical
